Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/11/2020,23887,0,3
5/11/2020,23888,Suppressed*,39
5/11/2020,23889,Suppressed*,7
5/11/2020,23890,5,50
5/11/2020,23891,22,100
5/11/2020,23893,Suppressed*,5
5/11/2020,23894,0,6
5/11/2020,23897,Suppressed*,4
5/11/2020,23898,5,28
5/11/2020,23899,Suppressed*,9
5/11/2020,23901,56,327
5/11/2020,23915,Suppressed*,13
5/11/2020,23917,10,49
5/11/2020,23919,5,24
5/11/2020,23920,Suppressed*,29
5/11/2020,23921,7,66
5/11/2020,23922,6,116
5/11/2020,23923,5,44
5/11/2020,23924,26,115
5/11/2020,23927,58,168
5/11/2020,23930,Suppressed*,133
5/11/2020,23934,Suppressed*,17
5/11/2020,23936,210,197
5/11/2020,23937,Suppressed*,43
5/11/2020,23938,0,5
5/11/2020,23942,Suppressed*,28
5/11/2020,23944,Suppressed*,52
5/11/2020,23947,0,76
5/11/2020,23950,8,52
5/11/2020,23952,0,7
5/11/2020,23954,Suppressed*,45
5/11/2020,23958,8,81
5/11/2020,23959,0,23
5/11/2020,23960,Suppressed*,48
5/11/2020,23962,Suppressed*,16
5/11/2020,23963,0,7
5/11/2020,23964,0,20
5/11/2020,23966,Suppressed*,49
5/11/2020,23967,0,16
5/11/2020,23968,Suppressed*,12
5/11/2020,23970,12,95
5/11/2020,23974,Suppressed*,96
5/11/2020,23976,0,8
5/11/2020,24011,0,8
5/11/2020,24012,30,154
5/11/2020,24013,Suppressed*,37
5/11/2020,24014,51,102
5/11/2020,24015,11,60
5/11/2020,24016,Suppressed*,50
5/11/2020,24017,14,135
5/11/2020,24018,32,222
5/11/2020,24019,10,145
5/11/2020,24053,0,27
5/11/2020,24054,Suppressed*,35
5/11/2020,24055,Suppressed*,90
5/11/2020,24058,0,3
5/11/2020,24059,0,4
5/11/2020,24060,34,469
5/11/2020,24064,0,24
5/11/2020,24065,Suppressed*,26
5/11/2020,24066,Suppressed*,11
5/11/2020,24067,Suppressed*,7
5/11/2020,24069,0,17
5/11/2020,24070,0,8
5/11/2020,24072,0,10
5/11/2020,24073,18,368
5/11/2020,24076,0,8
5/11/2020,24077,Suppressed*,3
5/11/2020,24078,5,65
5/11/2020,24079,0,13
5/11/2020,24082,0,3
5/11/2020,24083,6,17
5/11/2020,24084,6,140
5/11/2020,24085,7,8
5/11/2020,24087,6,50
5/11/2020,24088,0,11
5/11/2020,24089,Suppressed*,25
5/11/2020,24090,9,21
5/11/2020,24091,Suppressed*,55
5/11/2020,24092,0,11
5/11/2020,24093,0,1
5/11/2020,24095,Suppressed*,19
5/11/2020,24101,Suppressed*,28
5/11/2020,24102,0,2
5/11/2020,24104,Suppressed*,40
5/11/2020,24105,0,2
5/11/2020,24112,13,228
5/11/2020,24120,0,7
5/11/2020,24121,Suppressed*,69
5/11/2020,24122,Suppressed*,14
5/11/2020,24124,Suppressed*,35
5/11/2020,24127,Suppressed*,27
5/11/2020,24128,Suppressed*,19
5/11/2020,24131,0,1
5/11/2020,24132,0,3
5/11/2020,24133,0,23
5/11/2020,24134,Suppressed*,29
5/11/2020,24136,0,13
5/11/2020,24137,Suppressed*,9
5/11/2020,24138,0,18
5/11/2020,24139,0,5
5/11/2020,24141,Suppressed*,149
5/11/2020,24142,0,1
5/11/2020,24147,Suppressed*,10
5/11/2020,24148,Suppressed*,56
5/11/2020,24149,0,28
5/11/2020,24150,Suppressed*,3
5/11/2020,24151,13,37
5/11/2020,24153,52,380
5/11/2020,24161,0,3
5/11/2020,24162,6,41
5/11/2020,24165,0,14
5/11/2020,24167,0,3
5/11/2020,24168,Suppressed*,7
5/11/2020,24171,Suppressed*,63
5/11/2020,24174,Suppressed*,14
5/11/2020,24175,Suppressed*,37
5/11/2020,24176,Suppressed*,7
5/11/2020,24179,12,69
5/11/2020,24184,6,10
5/11/2020,24185,0,1
5/11/2020,24201,Suppressed*,186
5/11/2020,24202,7,127
5/11/2020,24210,19,261
5/11/2020,24211,9,138
5/11/2020,24216,9,56
5/11/2020,24217,0,1
5/11/2020,24219,9,363
